buyer_activity,contract_type,buyer_type,quality_criteria,Subnetwork_ID,Subgraph_ID,Number_of_Nodes,Number_of_Edges,Number_of_Winners,Number_of_Buyers,Number_of_Cliques,Largest_Clique_Size,K_Core_Number,Average_Path_Length,Diameter,Disparity_Measure,Density
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_7,5,4,4,1,4,2,1,1.6,2,0.2125,0.4
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_8,4,3,3,1,3,2,1,1.5,2,0.20833333333333334,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_9,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_10,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_11,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_12,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_13,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_14,6,5,5,1,5,2,1,1.6666666666666667,2,0.21666666666666667,0.3333333333333333
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_15,10,9,9,1,9,2,1,1.8,2,0.22777777777777777,0.2
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_16,5,4,3,2,4,2,1,2.0,4,0.08125,0.4
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_17,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_18,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_19,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_20,6,5,5,1,5,2,1,1.6666666666666667,2,0.21666666666666667,0.3333333333333333
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_21,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_22,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_23,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_24,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_25,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_26,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_27,5,4,3,2,4,2,1,1.8,3,0.11875,0.4
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_28,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_29,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_30,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_31,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_32,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_33,6,5,5,1,5,2,1,1.6666666666666667,2,0.21666666666666667,0.3333333333333333
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_34,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_35,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_36,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_37,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_38,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_39,4,3,3,1,3,2,1,1.5,2,0.20833333333333331,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_40,4,3,3,1,3,2,1,1.5,2,0.20833333333333331,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_41,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_42,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_43,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_44,4,3,3,1,3,2,1,1.5,2,0.20833333333333331,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_45,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_46,8,7,6,2,7,2,1,2.0357142857142856,3,0.10076530612244897,0.25
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_47,4,3,3,1,3,2,1,1.5,2,0.20833333333333334,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_48,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_49,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_50,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_51,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_52,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_53,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_54,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_55,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_56,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_57,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_58,6,5,5,1,5,2,1,1.6666666666666667,2,0.21666666666666667,0.3333333333333333
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_59,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_60,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_61,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_62,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_63,9,8,8,1,8,2,1,1.7777777777777777,2,0.22569444444444445,0.2222222222222222
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_64,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_65,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_66,6,5,3,3,5,2,1,2.3333333333333335,5,0.05666666666666667,0.3333333333333333
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_67,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_68,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_69,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_70,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_71,4,3,1,3,3,2,1,1.5,2,0.20833333333333331,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_72,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_73,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_74,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_75,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_76,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_77,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_78,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_79,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_80,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_81,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_82,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_83,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_84,4,3,3,1,3,2,1,1.5,2,0.20833333333333331,0.5
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_85,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_86,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_87,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_88,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_89,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_90,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_91,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_92,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_93,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_94,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_95,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_96,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_97,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_98,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_99,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_100,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_101,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_102,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_103,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_104,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_105,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_106,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_107,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_108,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_109,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_110,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_111,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_112,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_113,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_114,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_115,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_116,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_117,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_118,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_119,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_120,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_121,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_122,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_123,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_124,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_125,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_126,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_127,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_128,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_129,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_130,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_131,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Egyéb tevékenység:,Építési beruházás,U - Egyéb típus:,Igen,network_39,network_39_132,2,1,1,1,1,2,1,1.0,1,0.25,1.0
