Unique ID,Original Value,New Value,Similarity Score
33444,Budapest Főváros Xix. Kerület Kispest Önkormányzata Gazdasági Ellátó Szervezet ,Budapest Főváros Xix. Kerület Kispest Önkormányzata ,0.809783736244291
36458,Magyar Kerékpáros Szövetség ,Magyar Kerékpáros Turisztikai Szövetség ,0.86376172117414
39061,Mta Támogatott Kutatócsoportok Irodája ,Támogatott Kutatócsoportok Irodája ,0.882606126976249
39345,Uszód Község Önkormányzat ,Uszód Községi Önkormányzat ,0.8899609326768132
40464,Legfőbb Ügyészség Nevében Eljáró Fővárosi Főügyészség ,Legfőbb Ügyészség Nevében Eljáró Pest Megyei Főügyészség ,0.859605894186218
40699,Budapest Xxi. Kerület Csepel Önkormányzata Gazdasági Igazgatóság ,Budapest Xxi. Kerület Csepel Önkormányzata ,0.8466816640284281
41679,Hatvani Százszorszép Óvoda ,Százszorszép Óvoda ,0.8014815438370868
41780,Jászberényi Vagyonkezelő És Városüzemeltető Zrt.,Jászberényi Vagyonkezelő És Városüzemeltető Nonprofit Zrt.,0.9651037672582267
42705,Győri Műszaki Szakképzési Centrum ,Győri Szakképzési Centrum ,0.8447564600737959
44005,A Legfőbb Ügyészség Nevében Eljáró Csongrád Megyei Főügyészség ,Legfőbb Ügyészség Nevében Eljáró Pest Megyei Főügyészség ,0.8725695568511223
44006,Közép És Keleteurópai Történelem És Társadalom Kutatásáért Közalapítvány ,Közép És Keleteurópai Történelem És Társadalom Kutatásáért Alapítvány ,0.9130931525899946
44036,Kaposvár Megyei Jogú Város Városgondnoksága ,Kaposvár Megyei Jogú Város Önkormányzata ,0.8052680694288147
46629,Badacsony És Térsége Turisztikai Fejlesztő Nonprofit Zrt.,Bttf Badacsony És Térsége Turisztikai Fejlesztő Nonprofit Zrt.,0.8639515221378937
48932,Sonkád Község Önkormányzat ,Sonkád Községi Önkormányzat ,0.8899609326768132
49065,Legfőbb Ügyészség Nevében Eljáró Bácskiskun Megyei Főügyészség ,Legfőbb Ügyészség Nevében Eljáró Pest Megyei Főügyészség ,0.8694301107364252
49635,Budapest Xxi. Kerület Csepel Önkormányzata Közterületfelügyelete ,Budapest Xxi. Kerület Csepel Önkormányzata ,0.8388605185801342
50028,"Bocskai István Református Oktatási Központ Óvoda, Általános Iskola, Gimnázium, Szakgimnázium, Szakközépiskola, Alapfokú Művészeti Iskola És Kollégium ","Bocskai István Református Oktatási Központ Óvoda, Általános Iskola, Gimnázium, Technikum, Szakgimnázium, Szakképző Iskola, Alapfokú Művészeti Iskola És Kollégium ",0.8761241936866428
51970,Budapest Főváros Ix. Kerület Ferencváros Önkormányzata Ferencvárosi Közterületfelügyelet ,Budapest Főváros Ix. Kerület Ferencváros Önkormányzata ,0.8106994565222341
52997,Családés Gyermekjóléti Központ Győr ,Családés Gyermekjóléti Központ ,0.8346125663611759
53759,Maklár Községi Önkormányzat ,Maklár Község Önkormányzata ,0.8036032369625994
55016,Budapest Főváros Xv. Kerület Önkormányzat Csokonai Kulturális Központ ,Budapest Főváros Xv. Kerület Önkormányzat Csokonai Kulturális És Sportközpont ,0.8591215588728547
57208,Határok Nélküli Gyógyításért Egészségügyi Nonprofit Kft.,Határok Nélküli Gyógyításért Nonprofit Kft.,0.9410575826290997
57606,Salgótarján Megyei Jogú Város Polgármesteri Hivatal ,Salgótarján Megyei Jogú Város Önkormányzata ,0.8108692856537874
58502,Szolnoki Kistérség Többcélú Társulása ,Szolnoki Kistérség Többcélú Társulása Humán Központ ,0.8411151748266797
62658,Veresegyház Városi Sportkör ,Veresegyház Városi Sportkör Egyesület ,0.9225972585683532
67373,Főkétüsz Fővárosi Kéményseprőipari Nonprofit Kft.,Főkétüsz Fővárosi Kéményseprőipari Kft.,0.9698782680139657
69118,Kátai Gábor Alapítvány ,Kátai Gábor Kórház ,0.8176888090365431
70680,Apriori Cultura Nonprofit Kft.,Apriori Cultura Nonprofit Zrt.,0.9363157964299208
70684,Szent Gellért Katolikus Általános Iskola És Gimnázium Budapest ,Szent Gellért Katolikus Általános Iskola És Gimnázium Gyomaendrőd ,0.8437639260211947
70742,Nemzeti Tehetség Központ Nonprofit Kft.,Nemzeti Tehetség Központ Közhasznú Nonprofit Kft.,0.9277481636729648
70909,Csongrádcsanád Megyei Mellkasi Betegségek Szakkórháza ,Csongrád Megyei Mellkasi Betegségek Szakkórháza ,0.823171930391134
73492,Rényi Alfréd Matematikai Kutatóintézet ,Mta Rényi Alfréd Matematikai Kutatóintézet ,0.9051347050344576
78788,Szabó Attila ,Szabó Attila EV,0.8911813395354417
79596,Karotin Plusz Termelő Kereskedő És Kft.,"Karotin Termelő, Kereskedő És Kft.",0.8597429034329238
80739,Pápa Város Önkormányzatának Városgondnoksága És Közterületfelügyelete ,Pápa Város Önkormányzatának Városgondnoksága ,0.8370747270667322
81927,Magyar Zene Háza Közhasznú Nonprofit Kft.,Magyar Zene Háza Nonprofit Kft.,0.9395534393260542
84118,Cered Község Önkormányzat ,Cered Község Önkormányzata ,0.9115228815546577
85535,Székkutas Község Önkormányzata ,Székkutas Községi Önkormányzat ,0.8036032369625994
86594,"Fm Dunántúli Agrárszakképző Központ, Csapó Dániel Mezőgazdasági Szakgimnázium, Szakközépiskola És Kollégium ","Am Dunántúli Agrárszakképző Központ, Csapó Dániel Mezőgazdasági Szakgimnázium, Szakközépiskola És Kollégium ",0.8537127854539842
89602,Győrmosonsopron Megyei Gyermekvédelmi Igazgatóság És Területi Gyermekvédelmi Szakszolgálat ,Hajdúbihar Megyei Gyermekvédelmi Igazgatóság És Területi Gyermekvédelmi Szakszolgálat ,0.8412944299295393
91226,Petőfi Művelődési Ház Jászárokszállás ,Petőfi Művelődési Ház ,0.8172480215370039
91609,Debreceni Képző Központ Oktatási Nonprofit Közhasznú Kft.,Debreceni Képző Központ Oktatási Nonprofit Kft.,0.9483475038662931
93647,Budapest Főváros Xiii. Kerületi Közterületfelügyelet ,Budapest Főváros Xiii. Kerületi Önkormányzat ,0.8132737875746102
93813,Magyar Tudományos Akadémia Számítástechnikai És Automatizálási Kutatóintézet ,Számítástechnikai És Automatizálási Kutatóintézet ,0.8069463793596092
96361,Gondozási Központ ,Városi Gondozási Központ ,0.8529123510990211
97582,Salgó Vagyon Salgótarjáni Önkormányzati Vagyonkezelő És Távhőszolgáltató Kft.,Salgó Vagyon Salgótarjáni Vagyonkezelő És Távhőszolgáltató Kft.,0.9565583499021137
98746,Tanulmányi Erdőgazdaság Zrt.,Taeg Tanulmányi Erdőgazdaság Zrt.,0.80526892151255
100540,Mvm Mvm Gter Gázturbinás Erőmű Zrt.,Mvm Gter Gázturbinás Erőmű Zrt.,0.9533918297416192
